         SEQ_ID,  PER(VLXT),  RNK(VLXT), PER(VSL2B), RNK(VSL2B),   PER(VL3),   RNK(VL3), PER(IUP_S), RNK(IUP_S), PER(IUP_L), RNK(IUP_L),  PER(PFIT),  RNK(PFIT),   PER(MDP),   RNK(MDP),       dCDF,        dCH,   len(seq)
         Q8IXQ9,      13.74,  0.2207670,      16.03,  0.2880788,       0.00,  0.2083176,       4.58,  0.1574932,       0.00,  0.1346298,       6.49,  0.1895688,       0.38,  0.1650896,  0.1736433, -0.2002386,   262
         Q9HBL7,      34.69,  0.3445577,      57.82,  0.5126634,      44.90,  0.4096145,      10.20,  0.2249041,       0.00,  0.1391951,      39.46,  0.4249729,       4.08,  0.2743821,  0.0509126, -0.1526424,   147
         O00408,      19.34,  0.2548115,      18.60,  0.3485915,      19.13,  0.3000966,       9.14,  0.1842671,       6.70,  0.1937077,      11.05,  0.2219606,      11.80,  0.2505724,  0.1425332, -0.1608779,   941
         Q9BVS5,      29.98,  0.3398952,      41.93,  0.4769275,      33.75,  0.4249847,      22.43,  0.2898131,      19.29,  0.3067156,      27.67,  0.3335480,      28.72,  0.3619806,  0.0584470, -0.1377990,   477
         P56962,      59.60,  0.5488672,      41.39,  0.4552304,      43.71,  0.4702354,      14.57,  0.2560036,       9.93,  0.2951866,      12.58,  0.3445039,      26.49,  0.3950045, -0.1485952, -0.1595194,   302
         Q96JX3,      20.80,  0.2641920,      19.57,  0.3455501,       7.34,  0.2463449,       2.75,  0.1825864,       2.45,  0.1943559,      12.84,  0.2268583,       6.27,  0.2433149,  0.1347640, -0.1858028,   654
         Q96LW4,      26.07,  0.2714553,      35.89,  0.4146402,      32.86,  0.3467154,      15.71,  0.2334939,       9.64,  0.2250679,      22.14,  0.2819761,      25.71,  0.2955581,  0.1223497, -0.0682798,   560
         Q8N3Z0,      25.91,  0.3434203,      26.15,  0.4181223,      29.06,  0.3917630,      17.19,  0.2802630,      18.40,  0.3235663,      22.76,  0.3288628,      19.85,  0.3476663,  0.0561299, -0.0168138,   413
         Q96DU9,      25.65,  0.3095786,      24.61,  0.3809215,      23.56,  0.3245997,       4.45,  0.2183560,       2.09,  0.2267367,       8.64,  0.2271056,      12.57,  0.2812164,  0.0893551, -0.0645872,   382
         Q9H649,      20.88,  0.2422232,      19.12,  0.3308162,       5.29,  0.2430542,       2.94,  0.1835555,       0.00,  0.1669957,       6.47,  0.1857967,       1.76,  0.1848978,  0.1542720, -0.1467990,   340
         Q9NRA0,      45.41,  0.4744594,      53.21,  0.5498291,      50.31,  0.4847353,      32.42,  0.3324738,      37.16,  0.3949898,      37.77,  0.4105013,      41.44,  0.4411649, -0.0730342, -0.2223748,   654
         Q96PN6,      10.31,  0.1542784,      13.04,  0.2601996,       7.83,  0.2175072,       2.61,  0.0984788,       0.50,  0.0934815,       3.04,  0.1454443,       3.85,  0.1615652,  0.2391587, -0.2316001,  1610
         Q08J23,      33.25,  0.3655778,      34.29,  0.4504040,      27.90,  0.3994206,      22.69,  0.3286879,      23.99,  0.3803398,      20.34,  0.2985661,      22.95,  0.3704993,  0.0343475, -0.0806815,   767
         Q9Y6J8,       8.31,  0.1719442,      10.54,  0.2907613,      10.22,  0.2424584,       5.75,  0.1608681,       3.51,  0.1486862,      14.06,  0.2040271,       5.11,  0.1627145,  0.2231867, -0.1650018,   313
         O43572,      26.74,  0.3305977,      52.72,  0.5254607,      42.45,  0.4350477,      26.13,  0.3316825,      32.33,  0.3728486,      33.53,  0.3800621,      37.46,  0.3959500,  0.0669057, -0.1057524,   662
         Q9HD36,      27.45,  0.2870953,      29.41,  0.3500463,      22.55,  0.2447932,      13.24,  0.2122045,      10.78,  0.1899773,      19.12,  0.2675156,      13.73,  0.2178064,  0.1100564, -0.1983074,   204
         Q9NRD5,      25.54,  0.3161966,      15.90,  0.3666707,      11.81,  0.3093432,      11.57,  0.2258757,       8.43,  0.2491242,      12.77,  0.2331599,      11.08,  0.2833952,  0.0808028, -0.1182388,   415
         Q13686,      31.88,  0.3346566,      33.68,  0.3959444,      18.77,  0.3105630,       7.20,  0.2366846,       8.74,  0.2647760,      10.54,  0.2483346,       4.11,  0.2467327,  0.0637888, -0.1225993,   389
         O60260,      21.94,  0.2448431,      37.20,  0.4271548,      34.41,  0.3960074,      11.40,  0.2056549,       9.68,  0.2183181,      12.69,  0.2372226,       7.53,  0.2221989,  0.1529468, -0.1381883,   465
         P03923,       6.90,  0.1334137,       5.17,  0.1680892,       0.00,  0.1131238,       0.00,  0.0203862,       0.00,  0.0090569,       6.32,  0.1873330,       0.57,  0.0863798,  0.2579265, -0.5428472,   174
         P51530,      16.13,  0.2302554,      12.74,  0.3150437,       6.89,  0.2961352,       2.17,  0.1549954,       1.89,  0.1705086,       4.53,  0.1662555,       3.11,  0.2221992,  0.1668746, -0.2020853,  1060
         P42574,      19.13,  0.2598617,      34.66,  0.4162014,      22.38,  0.3074682,       5.42,  0.2171728,      13.36,  0.2400840,      20.58,  0.3029543,      19.49,  0.2906239,  0.1358509, -0.1087650,   277
         Q92843,      15.54,  0.2557532,      31.09,  0.3558171,       0.00,  0.2047870,       9.33,  0.2461409,       6.74,  0.2295729,       9.33,  0.2655892,       4.15,  0.2254790,  0.1405094, -0.2247504,   193
         Q16548,       9.71,  0.1574542,      13.14,  0.2705488,       5.71,  0.2327350,       1.71,  0.1478898,       0.00,  0.1066344,      16.00,  0.2145965,       0.00,  0.1495206,  0.2391711, -0.2091004,   175
         P10415,      29.71,  0.3585953,      38.08,  0.4142472,      25.52,  0.3099163,      21.76,  0.2711021,      23.85,  0.2911633,      27.20,  0.3470220,      26.78,  0.3320076,  0.0408054, -0.2168727,   239
         Q92934,      79.76,  0.7165015,     100.00,  0.8907874,      93.45,  0.8044815,      82.74,  0.6941019,      90.48,  0.7860834,     100.00,  0.8707605,     100.00,  0.7937860, -0.3150312,  0.0946725,   168
         Q96PG8,      83.52,  0.8063198,     100.00,  0.9403304,      96.93,  0.8989804,      88.51,  0.6626038,      92.34,  0.8437728,      97.32,  0.8957220,      95.79,  0.8412884, -0.3968628,  0.0521676,   261
         P49247,      26.05,  0.3459322,      33.12,  0.4163067,      31.51,  0.3222979,      18.97,  0.2654189,      26.05,  0.3126898,      29.90,  0.3367362,      29.90,  0.3332305,  0.0533953, -0.1956415,   311
         A8MUP2,      11.67,  0.1967925,      17.50,  0.3261554,       5.83,  0.2526436,       5.00,  0.1815625,       1.25,  0.1766467,       9.58,  0.1865775,       1.67,  0.1779558,  0.2038674, -0.2625431,   240
         P15538,      20.68,  0.2546815,      10.34,  0.2918652,       1.79,  0.1974383,       0.60,  0.1348726,       0.20,  0.1378168,       2.19,  0.1688367,       0.20,  0.1646788,  0.1454245, -0.2100338,   503
         Q8NE22,      13.71,  0.2075242,      14.05,  0.2987093,       0.00,  0.1440504,       1.67,  0.1420886,       0.33,  0.1303446,       7.02,  0.2078442,       1.00,  0.1644185,  0.1909600, -0.1743433,   299
         Q96AY3,      29.38,  0.3114637,      25.60,  0.3656960,      16.15,  0.2493031,      13.23,  0.2511034,      14.95,  0.2915853,      13.40,  0.2518453,      15.46,  0.2868329,  0.0864814, -0.1427883,   582
         Q9UMX3,      23.11,  0.2975134,       9.43,  0.2448014,       0.00,  0.1807360,       2.36,  0.1036005,       0.00,  0.0813427,      11.79,  0.2154275,       1.42,  0.1571142,  0.1019218, -0.3286515,   212
         Q14596,      51.04,  0.5021433,      62.11,  0.5696745,      63.15,  0.5863180,      32.71,  0.3923603,      38.92,  0.4569925,      37.99,  0.4251961,      51.14,  0.4887812, -0.1016384, -0.0560690,   966
         Q6NUI2,      22.52,  0.2621326,      16.35,  0.3092666,       9.94,  0.2865248,       5.79,  0.1384349,       0.38,  0.1196488,       7.92,  0.2006127,       8.30,  0.2194368,  0.1346734, -0.3060267,   795
         Q96ST8,      59.13,  0.5380313,      82.63,  0.7354332,      82.38,  0.6839465,      31.03,  0.4202054,      44.32,  0.5249523,      60.15,  0.5678279,      63.60,  0.5783994, -0.1380505,  0.0078144,   783
         Q14CZ7,      12.99,  0.1994305,      14.95,  0.2984769,      10.27,  0.2744255,       1.51,  0.1140318,       0.15,  0.1183541,       2.42,  0.1532485,       0.00,  0.1472570,  0.1953045, -0.2207853,   662
         Q4J6C6,      14.31,  0.2072255,      22.01,  0.3522080,      16.09,  0.2963166,       4.54,  0.2074293,       4.54,  0.2273698,       4.81,  0.1907462,       7.84,  0.2468825,  0.1884661, -0.0947544,   727
         Q9H4A6,      43.96,  0.4386082,      25.50,  0.4313716,      22.82,  0.3827272,      19.46,  0.2737926,      21.14,  0.3204860,      24.16,  0.3302249,      22.15,  0.3628684, -0.0385192, -0.0914548,   298
         Q9NWX6,      12.42,  0.2089170,      13.09,  0.2921903,       0.00,  0.1158807,       4.36,  0.1646256,       2.01,  0.1546724,       9.06,  0.2075322,       2.35,  0.1713230,  0.1874876, -0.1282541,   298
         Q8N2F6,      21.87,  0.2724112,      25.66,  0.3705818,      20.41,  0.2985117,      16.62,  0.1837593,      12.54,  0.2068448,      25.36,  0.2954045,      18.66,  0.2712521,  0.1254511, -0.2264930,   343
         Q9NVH0,      36.71,  0.3822824,      38.97,  0.4484170,      32.05,  0.4184183,      18.36,  0.2893243,      17.71,  0.3156437,      25.12,  0.3283446,      25.44,  0.3637384,  0.0176911, -0.0953646,   621
         Q07817,      30.90,  0.3500971,      35.62,  0.4015942,      23.18,  0.2667276,      21.46,  0.2783455,      17.60,  0.2776912,      32.62,  0.3456867,      24.89,  0.3200237,  0.0484893, -0.1101232,   233
         B4DJ38,      34.58,  0.3579550,      38.05,  0.4627308,      29.11,  0.3755966,      20.03,  0.2839489,      22.16,  0.3298264,      26.84,  0.3289048,      29.64,  0.3564936,  0.0394275, -0.1299176,   749
         Q9NRY6,      34.24,  0.3752993,      45.08,  0.5002616,      40.68,  0.4353383,      13.22,  0.2224013,      10.51,  0.2689806,      27.46,  0.3388942,      24.75,  0.3568626,  0.0255730, -0.2241078,   295
         O15091,      16.64,  0.2045366,      22.98,  0.3339317,      13.38,  0.2473866,       6.86,  0.1898481,       2.40,  0.1889034,       7.89,  0.2023035,       1.54,  0.1865872,  0.1900650, -0.1108161,   583
         Q15785,      32.04,  0.3721415,      48.22,  0.5079748,      39.16,  0.4419744,      20.39,  0.3017041,      17.48,  0.3611676,      25.89,  0.3202448,      33.33,  0.3842012,  0.0241244, -0.0444115,   309
         Q8N2A8,      22.22,  0.2899657,      40.87,  0.4250940,      29.76,  0.3578363,       6.75,  0.1959893,       2.38,  0.1960649,      13.10,  0.2778518,      11.90,  0.2904670,  0.1094727, -0.1676461,   252
         Q9NX74,      32.05,  0.3766502,      29.82,  0.4128911,      21.70,  0.3573556,      15.42,  0.2736049,      12.37,  0.2996784,      18.46,  0.2691020,      20.28,  0.3315470,  0.0219901, -0.1653302,   493
         Q07820,      62.00,  0.5881009,      62.00,  0.5973039,      59.71,  0.5664399,      48.29,  0.3801718,      48.29,  0.4433420,      62.57,  0.5533888,      57.14,  0.5214580, -0.1879717, -0.1719507,   350
         Q53H12,      21.80,  0.2992314,      22.99,  0.3735256,      18.96,  0.3039005,       8.77,  0.2539212,       9.00,  0.2912373,      12.80,  0.2346966,       7.58,  0.2421021,  0.0996762, -0.1599150,   422
         P55211,      19.23,  0.2611173,      35.34,  0.4278875,      24.52,  0.3733967,      13.94,  0.2343159,       9.13,  0.2451434,      16.11,  0.2713956,      16.59,  0.3022095,  0.1357185, -0.1734367,   416
         Q6P4H8,      18.45,  0.2128650,      17.17,  0.2830923,       8.15,  0.1673386,       9.01,  0.1784408,       1.29,  0.1429119,       9.44,  0.1957838,       8.15,  0.1967387,  0.1808928, -0.2191973,   233
         O15270,      22.60,  0.2993276,      11.03,  0.3062881,       9.07,  0.1854692,       2.31,  0.1356717,       1.07,  0.1573184,       8.19,  0.1995625,       3.91,  0.2139396,  0.0996749, -0.1989623,   562
         P27695,      33.96,  0.3693146,      38.05,  0.4383154,      31.45,  0.3693753,      22.64,  0.2988070,      23.27,  0.3274458,      20.75,  0.3137147,      21.70,  0.3528289,  0.0290445, -0.0753761,   318
         Q9BUP0,      44.77,  0.4574653,      55.23,  0.6565824,      51.88,  0.5281436,      36.40,  0.3577829,      27.20,  0.3839184,      47.70,  0.4868213,      45.19,  0.4784524, -0.0554290, -0.0514691,   239
         Q9BQP7,      27.03,  0.2883676,      47.97,  0.4507457,      28.49,  0.3703169,      15.41,  0.2658046,      12.50,  0.2917226,      14.24,  0.2845730,       6.98,  0.2635355,  0.1085915, -0.0939161,   344
         Q96H55,      35.15,  0.3503269,      20.10,  0.3480785,      12.16,  0.2882090,       7.32,  0.2231111,       5.98,  0.2450323,       8.14,  0.2230697,       8.35,  0.2796378,  0.0482169, -0.1757992,   970
         Q68CK6,      19.41,  0.2577316,      10.75,  0.3061898,       4.33,  0.2030070,       2.77,  0.1969918,       3.12,  0.2004277,       4.33,  0.1868480,       2.25,  0.1913648,  0.1383076, -0.2021243,   577
         Q16526,      27.47,  0.2808634,      26.11,  0.3636630,      21.50,  0.2906173,      11.77,  0.2295978,       9.90,  0.2276654,      12.63,  0.2459917,      16.89,  0.2730665,  0.1150771, -0.1372487,   586
         Q96BQ5,      48.08,  0.4808422,      51.92,  0.4885353,      31.54,  0.3553191,       6.92,  0.2180279,       8.46,  0.2480491,      32.69,  0.3886648,      14.23,  0.3040200, -0.0829113, -0.0150831,   260
         Q9BYC2,      36.36,  0.3848773,      13.93,  0.3299787,      11.41,  0.2622758,       1.74,  0.1927648,       1.93,  0.2281365,       6.96,  0.2042517,       2.51,  0.2233349,  0.0152977, -0.2465357,   517
         Q9HB07,      19.68,  0.2832536,      30.32,  0.4179614,      15.69,  0.3206647,      13.03,  0.2956688,      13.56,  0.3091539,      18.88,  0.2874689,      14.36,  0.3190286,  0.1164341, -0.1252659,   376
         P21964,      11.81,  0.1817238,       7.01,  0.2381060,       0.00,  0.1659457,       3.69,  0.1197266,       0.00,  0.1079037,       7.01,  0.1663736,       3.69,  0.1356390,  0.2152259, -0.2742980,   271
         Q6UXN7,      29.61,  0.3617518,      38.16,  0.4631609,      42.11,  0.4755417,      23.03,  0.2561638,      21.71,  0.2863642,      44.74,  0.4292255,      29.61,  0.3787013,  0.0402162, -0.0795853,   152
         Q6P444,      54.03,  0.5405465,      62.08,  0.6150371,      56.36,  0.5380437,      44.16,  0.3946439,      52.47,  0.4783453,      55.32,  0.5195425,      55.06,  0.5143598, -0.1384133, -0.0765774,   385
         Q99551,      21.05,  0.2629366,      11.78,  0.3111666,       0.00,  0.2050433,       2.51,  0.1240980,       0.00,  0.1201571,       6.52,  0.1922859,       1.75,  0.1684406,  0.1338879, -0.1611410,   399
         Q13323,      35.00,  0.3767380,      41.88,  0.4636425,      41.25,  0.4921488,      17.50,  0.2145706,       9.38,  0.1727582,      43.75,  0.4497388,      33.75,  0.3615997,  0.0223050, -0.2189211,   160
         Q8N1Q8,       7.29,  0.1794774,      19.43,  0.3757731,       5.67,  0.2997302,       4.45,  0.1997316,       0.40,  0.1674819,       8.10,  0.2069827,       2.43,  0.1882412,  0.2166333, -0.2016926,   247
         Q9UHN1,      21.65,  0.2628953,      31.13,  0.3874907,      18.56,  0.2982901,       9.69,  0.2045842,       8.25,  0.2191243,      16.91,  0.2594881,      11.13,  0.2719786,  0.1350209, -0.1428613,   485
         O15528,      29.33,  0.3595765,      31.30,  0.3842382,      19.49,  0.3233454,       9.45,  0.2284846,       7.28,  0.2523300,      12.60,  0.2621474,       3.74,  0.2477960,  0.0397189, -0.1863114,   508
         Q6J4K2,       7.02,  0.0990107,      10.62,  0.1940235,       0.00,  0.1305891,       2.57,  0.0622056,       0.00,  0.0403919,       5.82,  0.1476038,       0.51,  0.0905392,  0.2907254, -0.4544343,   584
         Q9Y2W6,      45.10,  0.4446355,      46.52,  0.4946847,      40.29,  0.4311476,      19.43,  0.2992269,      19.07,  0.3547035,      25.67,  0.3419930,      30.66,  0.3943985, -0.0452022, -0.1010019,   561
         Q13794,      46.30,  0.5431787,      57.41,  0.6032552,      55.56,  0.5867639,      38.89,  0.4026722,      37.04,  0.4201298,      55.56,  0.5749013,      42.59,  0.5218167, -0.1446278,  0.0415302,    54
         Q8N0U4,      28.57,  0.3503565,      33.67,  0.4369041,      26.02,  0.3810421,       7.65,  0.2594869,       5.87,  0.2897705,      13.52,  0.2683372,       4.85,  0.2674760,  0.0499773, -0.1849515,   392
         Q96I51,      29.53,  0.3031031,      27.80,  0.3795723,      25.00,  0.3078527,       5.39,  0.2278671,       7.33,  0.2447817,      14.87,  0.2484446,      17.89,  0.2852706,  0.0922297, -0.2084506,   464
         Q9NRZ5,      10.85,  0.1270827,      11.11,  0.2456972,       0.00,  0.1748371,       2.12,  0.1152487,       0.26,  0.0958713,       7.14,  0.1732193,       2.91,  0.1261865,  0.2614569, -0.2358700,   378
         P19099,      14.12,  0.2180366,       8.35,  0.2808113,       0.00,  0.1942214,       1.39,  0.1239062,       0.60,  0.1228700,       3.78,  0.1528361,       0.20,  0.1497433,  0.1798182, -0.2144192,   503
         Q9BSH5,      14.74,  0.2526536,      11.16,  0.3033193,       4.78,  0.1895046,       2.79,  0.1908713,       0.00,  0.1974374,       9.56,  0.2005500,       1.59,  0.1908053,  0.1456629, -0.1929181,   251
         Q8TDB4,      72.92,  0.6454198,      89.58,  0.8209087,      83.75,  0.7715501,      68.75,  0.5700213,      82.50,  0.7107287,      85.00,  0.7664338,      85.42,  0.7141770, -0.2446740,  0.0358103,   240
         Q13162,      14.39,  0.2266986,      18.45,  0.3291781,       0.74,  0.2104170,       6.64,  0.2103529,       1.48,  0.1942578,      10.33,  0.2070378,       2.58,  0.1945873,  0.1711300, -0.1738954,   271
         Q6UW78,      68.82,  0.5932098,      64.52,  0.5569828,      35.48,  0.4458214,      37.63,  0.4101473,      43.01,  0.4385811,      62.37,  0.5654846,      38.71,  0.4274010, -0.1898488, -0.1492335,    93
         Q9BQD7,      38.72,  0.4193264,      23.83,  0.3646082,      18.30,  0.3416666,      16.60,  0.2268442,       8.51,  0.2163843,      16.60,  0.2749496,      19.15,  0.3072965, -0.0189382, -0.2477333,   235
         Q5VTE6,      10.66,  0.1960688,      22.24,  0.3682435,      14.52,  0.2726219,       2.94,  0.1853191,       3.12,  0.1906291,       4.96,  0.1985923,       1.84,  0.1898088,  0.2012021, -0.1203408,   544
         Q96IR7,      37.20,  0.3656940,      14.02,  0.3676555,       1.62,  0.2884850,       7.55,  0.2400377,       7.01,  0.2821081,       6.47,  0.2290708,       3.23,  0.2474277,  0.0324811, -0.2503743,   371
         P49448,      27.06,  0.3166733,      24.55,  0.3792227,      13.44,  0.2535284,       2.69,  0.2441757,       6.81,  0.2688316,      10.93,  0.2501135,      11.83,  0.2854244,  0.0821046, -0.1645648,   558
         Q7KZF4,      31.87,  0.3481735,      31.43,  0.3990385,      22.42,  0.3263618,      13.19,  0.2695649,      16.59,  0.3113599,      11.65,  0.2617441,      17.03,  0.3193738,  0.0513471, -0.1294241,   910
         Q7L4E1,      43.68,  0.4320796,      48.74,  0.5038428,      47.22,  0.4626160,      20.40,  0.2713091,      22.93,  0.3054897,      38.95,  0.4029133,      37.61,  0.3963750, -0.0320990, -0.1849912,   593
         Q8TCG5,      14.32,  0.1883285,      22.67,  0.3435973,       9.09,  0.2434976,       8.97,  0.1904674,       5.11,  0.1784526,       9.09,  0.2068408,       7.60,  0.2251975,  0.2058796, -0.2006246,   803
         Q86VU5,      36.26,  0.3916180,      23.66,  0.3910036,      15.27,  0.3089147,       2.67,  0.1691484,       1.15,  0.1902332,      16.41,  0.2650651,       2.29,  0.2345113,  0.0060861, -0.2453732,   262
         P17612,       6.84,  0.1140775,      19.94,  0.3404924,      15.38,  0.2525632,       6.27,  0.1859678,       1.99,  0.1606998,       8.83,  0.1967821,      10.54,  0.2084305,  0.2814405, -0.1234796,   351
         O95900,      35.35,  0.3562580,      24.77,  0.3834057,      20.24,  0.3124194,      14.20,  0.2468691,      12.08,  0.2855721,      11.48,  0.2442930,      21.75,  0.3048029,  0.0414525, -0.1639167,   331
         Q5T9A4,      49.23,  0.4713218,      45.68,  0.5558158,      43.52,  0.4484704,      19.14,  0.3033636,      31.64,  0.3910672,      37.04,  0.4254245,      36.42,  0.4325773, -0.0724056, -0.0632677,   648
         P35218,      27.21,  0.3017965,      14.10,  0.3297034,       0.00,  0.1489938,       4.26,  0.2304538,       0.66,  0.2195589,       6.89,  0.2315375,       1.97,  0.2188417,  0.0936114, -0.1493838,   305
         Q9BZ23,      32.81,  0.3113984,      44.74,  0.4954002,      38.77,  0.4364925,      21.75,  0.2699130,      30.35,  0.3067456,      39.65,  0.3983260,      35.44,  0.3697126,  0.0846022, -0.1391580,   570
         Q9UK39,      30.16,  0.3269624,      35.50,  0.4457847,      33.41,  0.3854647,      12.53,  0.2480078,      10.90,  0.2627753,      23.90,  0.3102563,      29.00,  0.3298750,  0.0711021, -0.1606873,   431
         Q07973,      28.40,  0.3158198,      20.43,  0.3768029,      15.37,  0.2886250,      12.84,  0.2200080,       5.25,  0.2239389,      14.20,  0.2397475,      14.79,  0.2774903,  0.0826491, -0.1310969,   514
         A6NJ78,      19.41,  0.2772810,      32.68,  0.4020720,      25.80,  0.3173654,      19.16,  0.2674563,      14.00,  0.2924953,      24.57,  0.2856841,      12.53,  0.2541649,  0.1230399, -0.1346703,   407
         Q14296,      45.72,  0.4568746,      48.27,  0.4907973,      50.09,  0.5041780,      17.12,  0.2659121,      18.21,  0.2863364,      27.50,  0.3535896,      32.60,  0.3929482, -0.0580461, -0.1579064,   549
         Q7L2E3,      24.20,  0.3352236,      30.40,  0.4159846,      24.87,  0.3627241,      11.64,  0.2486280,      11.89,  0.2906141,      15.66,  0.2718468,      15.49,  0.3208369,  0.0652736, -0.1515779,  1194
         Q13232,      29.59,  0.3418044,       9.47,  0.2665316,       0.00,  0.2239700,       1.18,  0.1262201,       0.59,  0.1222976,       7.69,  0.2527303,       0.00,  0.1849306,  0.0597662, -0.2637976,   169
         Q6L8Q7,      26.27,  0.3125638,      36.62,  0.4079424,      30.38,  0.3621964,      13.96,  0.2307252,      12.97,  0.2530637,      17.08,  0.2651385,      21.67,  0.3052718,  0.0854306, -0.1736653,   609
         Q70CQ3,      24.37,  0.2934330,      38.10,  0.4498003,      26.11,  0.3965355,      16.83,  0.2494906,      16.63,  0.2868828,      23.60,  0.3186381,      20.12,  0.3324633,  0.1049495, -0.1350570,   517
         Q9BRT2,      42.06,  0.4348848,      57.94,  0.5577630,      32.54,  0.5088438,      15.87,  0.3604508,      19.84,  0.3817424,      23.81,  0.3918516,      22.22,  0.4392560, -0.0337811,  0.0567912,   126
         Q9Y6E7,      17.83,  0.2457061,      16.24,  0.3336818,       1.59,  0.2450610,       3.18,  0.2159729,       0.00,  0.2127431,       8.28,  0.2069170,       0.96,  0.2025036,  0.1515388, -0.1634504,   314
         P03901,       1.02,  0.0582173,       5.10,  0.1633924,       0.00,  0.2101867,       0.00,  0.0191102,       0.00,  0.0037009,       9.18,  0.1896496,       0.00,  0.0723451,  0.3354364, -0.6345713,    98
         Q8TF08,      14.81,  0.2240291,      49.38,  0.4301993,      16.05,  0.2286802,      13.58,  0.2740407,       3.70,  0.2137860,      58.02,  0.4561372,      11.11,  0.2663653,  0.1671006, -0.1769957,    81
         Q9GZY4,      22.60,  0.2735656,      30.14,  0.3606592,      12.33,  0.2017036,      10.27,  0.2012617,       2.05,  0.1464055,      17.12,  0.3013022,       9.59,  0.2138657,  0.1219754, -0.1698935,   146
         Q99497,      32.80,  0.3678791,      23.28,  0.3774587,       9.52,  0.2876032,       3.70,  0.2621958,       3.70,  0.2916609,      11.11,  0.2647047,       1.59,  0.2606499,  0.0312981, -0.2588225,   189
         Q7L8L6,      14.14,  0.2086956,      20.16,  0.3317743,      15.05,  0.2647085,       4.84,  0.1558854,       4.45,  0.1753234,       8.90,  0.1942219,       3.66,  0.1776502,  0.1879153, -0.2217375,   764
