         SEQ_ID,  PER(VLXT),  RNK(VLXT), PER(VSL2B), RNK(VSL2B),   PER(VL3),   RNK(VL3), PER(IUP_S), RNK(IUP_S), PER(IUP_L), RNK(IUP_L),  PER(PFIT),  RNK(PFIT),   PER(MDP),   RNK(MDP),       dCDF,        dCH,   len(seq)
  generated0-78,       7.91,  0.1386388,      13.44,  0.3131001,       0.00,  0.1502430,       2.77,  0.1291812,       0.00,  0.1057867,       7.91,  0.1969074,       0.79,  0.1472690,  0.2542011, -0.0538289,   253
  generated0-77,      16.33,  0.1813425,      31.87,  0.3637179,      11.95,  0.2091884,      10.76,  0.1250526,       0.80,  0.0816613,      22.31,  0.2882694,       9.96,  0.1733406,  0.2082128, -0.0365313,   251
  generated0-76,       6.77,  0.1153195,      21.51,  0.3147961,      16.73,  0.2104268,       4.78,  0.1211191,       0.40,  0.0920221,       9.96,  0.2278713,       1.20,  0.1451880,  0.2725554, -0.0087880,   251
  generated0-75,       7.23,  0.1361341,       9.24,  0.2565060,       0.00,  0.0794424,       2.01,  0.0753602,       0.00,  0.0628566,       8.84,  0.1915422,       0.00,  0.1203998,  0.2578711, -0.0735873,   249
  generated0-74,       5.51,  0.1210131,      12.20,  0.2819883,       1.57,  0.1631838,       3.94,  0.1250074,       0.00,  0.0889094,       9.84,  0.1949590,       0.00,  0.1353129,  0.2708213, -0.0484105,   254
  generated0-73,      12.94,  0.1977169,      18.04,  0.2804247,       0.00,  0.0659182,       5.49,  0.1127730,       1.96,  0.0783660,      13.33,  0.2437882,       1.96,  0.1521781,  0.1975073, -0.0157166,   255
  generated0-72,       7.87,  0.0999729,       8.66,  0.2500890,       0.00,  0.0966365,       1.18,  0.0787535,       0.00,  0.0449332,       7.87,  0.1966840,       0.39,  0.1117387,  0.2895221, -0.0634385,   254
  generated0-71,      12.30,  0.1515779,      13.10,  0.2609492,       4.37,  0.0834839,       3.17,  0.0830687,       0.00,  0.0497804,      10.32,  0.2238981,       1.59,  0.1282124,  0.2386394, -0.0228102,   252
  generated0-70,      18.82,  0.1822135,      26.27,  0.3664127,      15.29,  0.2142585,      14.12,  0.1933944,       1.57,  0.1567626,      15.69,  0.2681003,       1.96,  0.1944806,  0.2096642,  0.0045791,   255
  generated0-69,      20.78,  0.2416226,      41.57,  0.4249574,      26.67,  0.2995102,       2.75,  0.1593325,       0.00,  0.1274663,      17.25,  0.3094450,       1.18,  0.2104706,  0.1512328,  0.0935676,   255
  generated0-68,      12.65,  0.2009985,      17.79,  0.2760280,       5.93,  0.1481451,       2.37,  0.1067483,       0.00,  0.0687726,      10.28,  0.2119188,       0.79,  0.1440776,  0.1945173, -0.0462164,   253
  generated0-67,      14.29,  0.1652484,      18.25,  0.3008335,       0.00,  0.1034197,       1.19,  0.1068599,       0.00,  0.0841438,       9.52,  0.2275197,       0.79,  0.1474342,  0.2263378,  0.0420676,   252
  generated0-66,      17.79,  0.2551054,      18.97,  0.3336477,       0.00,  0.1531685,       1.98,  0.1234470,       0.40,  0.1222611,      12.65,  0.2459506,       1.19,  0.1800686,  0.1435291,  0.0563061,   253
  generated0-65,      24.71,  0.2871251,      30.59,  0.4138408,      17.25,  0.2620229,       5.49,  0.1459342,       0.39,  0.1246442,      26.27,  0.3278996,      15.69,  0.2602445,  0.1092720,  0.0565324,   255
  generated0-64,      14.46,  0.1836928,      10.44,  0.3012722,       0.00,  0.0547549,       2.81,  0.0964012,       0.00,  0.0691743,       9.64,  0.2370329,       2.01,  0.1479289,  0.2100799, -0.0010565,   249
  generated0-63,      12.20,  0.1426542,      20.08,  0.3370005,       7.09,  0.1492073,       2.76,  0.1156827,       0.00,  0.0754687,       9.45,  0.2260048,       1.97,  0.1494685,  0.2481835,  0.0229388,   254
  generated0-62,       7.48,  0.1398812,      16.14,  0.2840771,       1.57,  0.0970099,       3.54,  0.1235603,       0.00,  0.0769962,       7.48,  0.2129361,       0.00,  0.1395751,  0.2511362, -0.0074190,   254
  generated0-61,      31.10,  0.3376300,      27.56,  0.3711433,       0.00,  0.1535986,       3.94,  0.2021690,       0.00,  0.1818895,      16.93,  0.2918559,       4.72,  0.2307814,  0.0574355, -0.0128479,   254
  generated0-60,       4.38,  0.0979111,      13.55,  0.2366932,       0.00,  0.0327901,       3.59,  0.0785454,       0.00,  0.0430029,       9.96,  0.1988803,       1.99,  0.1091722,  0.2910812, -0.0567573,   251
  generated0-59,      20.55,  0.2229368,      34.78,  0.3797007,      19.37,  0.2552204,       6.32,  0.1551163,       0.00,  0.1091683,      27.27,  0.3250896,       8.30,  0.1986686,  0.1698135, -0.0080812,   253
  generated0-58,       6.77,  0.1113736,       4.78,  0.2138149,       0.00,  0.0583895,       1.59,  0.0884068,       0.00,  0.0492961,       7.57,  0.1762706,       0.40,  0.1065271,  0.2791290, -0.0729430,   251
  generated0-57,       7.09,  0.1220682,      35.04,  0.3811350,       0.00,  0.1394506,       1.18,  0.1180949,       0.39,  0.0888589,      15.75,  0.2852523,       1.18,  0.1659016,  0.2706244, -0.0046137,   254
  generated0-56,       9.77,  0.1350569,      39.45,  0.4410088,      23.44,  0.2666624,       3.91,  0.1777989,       0.00,  0.1365623,      10.16,  0.2644865,       5.08,  0.2369293,  0.2616801,  0.0103898,   256
  generated0-55,      10.20,  0.1651586,      17.25,  0.3032740,       7.45,  0.1105389,       1.57,  0.1080753,       0.00,  0.0670322,       7.84,  0.2214464,       0.00,  0.1441644,  0.2300563,  0.0087758,   255
  generated0-54,      17.00,  0.1938481,      26.48,  0.3496900,       0.00,  0.1497935,       3.95,  0.1678648,       1.98,  0.1473675,      14.23,  0.2502674,       5.14,  0.1848397,  0.2004462, -0.0218663,   253
  generated0-53,       4.72,  0.1237207,      21.26,  0.3342977,       0.00,  0.0928152,       1.18,  0.1366473,       0.00,  0.1034642,       7.48,  0.2345150,       0.00,  0.1554407,  0.2690496, -0.0550459,   254
  generated0-52,       0.79,  0.0872501,      10.24,  0.2919298,       0.00,  0.0571409,       1.57,  0.1145279,       0.00,  0.0879472,       5.91,  0.2005235,       0.00,  0.1303630,  0.3090102,  0.0016254,   254
  generated0-51,      12.94,  0.1726374,      23.92,  0.3280430,       2.75,  0.1881511,       3.14,  0.1501317,       0.00,  0.1065710,       8.63,  0.2229700,       1.96,  0.1633921,  0.2247622,  0.0208925,   255
  generated0-50,      10.67,  0.1600741,      21.34,  0.3341576,       2.77,  0.1462418,       5.93,  0.1666158,       0.40,  0.1341749,       9.09,  0.2308162,       1.98,  0.1709731,  0.2340430,  0.0098685,   253
  generated0-49,      34.52,  0.3262559,      25.79,  0.3485080,       7.14,  0.1933667,       1.98,  0.1204909,       0.00,  0.0991666,      23.41,  0.3040643,       7.54,  0.1997475,  0.0672109,  0.0177128,   252
  generated0-48,       6.25,  0.1045445,      15.62,  0.3091644,       7.03,  0.1258919,       3.52,  0.1531317,       0.00,  0.1097997,       8.59,  0.2110565,       1.56,  0.1479495,  0.2849222, -0.0216361,   256
  generated0-47,      16.13,  0.2142871,       9.27,  0.2736010,       0.00,  0.0753705,       2.82,  0.1022234,       0.00,  0.0562516,      11.29,  0.2365362,       0.81,  0.1471498,  0.1797747,  0.0586784,   248
  generated0-46,      10.98,  0.1538794,      26.67,  0.3738170,      11.37,  0.1603057,       9.80,  0.1595691,       2.75,  0.1091175,      18.43,  0.2782709,       6.27,  0.1791089,  0.2378994, -0.0057736,   255
  generated0-45,       9.06,  0.1745626,      20.08,  0.3364715,       0.00,  0.1408123,       8.66,  0.1812693,       2.76,  0.1413824,      16.93,  0.2493872,       5.51,  0.1805122,  0.2204275,  0.0256692,   254
  generated0-44,      15.23,  0.2171748,      21.09,  0.3484662,       8.98,  0.1819327,      10.16,  0.2029144,       2.73,  0.1901778,      14.84,  0.2569009,       0.39,  0.2026058,  0.1794535, -0.0052288,   256
  generated0-43,      17.39,  0.1920277,      32.41,  0.3895109,      20.16,  0.2549079,       7.11,  0.1635620,       0.40,  0.1326597,      20.55,  0.2966276,      14.23,  0.2382160,  0.2028176, -0.0022012,   253
  generated0-42,      24.60,  0.2928927,      38.10,  0.3800862,      17.46,  0.2125426,       3.17,  0.1372627,       0.00,  0.1159936,      29.37,  0.3498860,       7.94,  0.2126868,  0.1033220,  0.0457641,   252
  generated0-41,       5.16,  0.1122979,      28.97,  0.3664709,      10.32,  0.1586784,       4.76,  0.1506036,       1.19,  0.1116757,      10.32,  0.2641485,       3.57,  0.1675327,  0.2775283,  0.0056044,   252
  generated0-40,      17.19,  0.2012347,      16.80,  0.2909024,       7.03,  0.0930134,       3.52,  0.1078699,       1.56,  0.0904661,       8.98,  0.2374021,       5.47,  0.1701481,  0.1907817,  0.0148748,   256
  generated0-39,      12.20,  0.1819333,      16.54,  0.2878148,       0.00,  0.1169859,       3.15,  0.1145607,       0.00,  0.0705937,      12.20,  0.2445152,       1.18,  0.1499029,  0.2129472,  0.0006431,   254
  generated0-38,       0.79,  0.0883354,      33.60,  0.3696525,      10.67,  0.1632248,       2.77,  0.1280392,       0.00,  0.0943699,      11.46,  0.2529426,       0.79,  0.1555566,  0.3042010, -0.0350131,   253
  generated0-37,      17.79,  0.2032396,      27.67,  0.3458709,       2.37,  0.1679119,       9.88,  0.1745621,       5.93,  0.1493370,      15.81,  0.2601878,       4.74,  0.1888662,  0.1856240,  0.0069544,   253
  generated0-36,      17.20,  0.1950072,      33.60,  0.3879441,      16.80,  0.2284212,       6.00,  0.1319828,       2.80,  0.1156383,      12.80,  0.2621587,       4.80,  0.1821219,  0.1969426,  0.0488866,   250
  generated0-35,      20.72,  0.2262845,      32.67,  0.3885138,      12.35,  0.2084702,      13.55,  0.1657761,       1.59,  0.1369533,      17.53,  0.3190228,       3.98,  0.2060917,  0.1675753, -0.0279101,   251
  generated0-34,      24.61,  0.3016384,      38.28,  0.4051248,      14.45,  0.2140447,      14.06,  0.1993421,       7.03,  0.1697822,      26.56,  0.3482042,      14.45,  0.2373486,  0.0931254,  0.0677127,   256
  generated0-33,      22.92,  0.2349790,      32.41,  0.3614196,       6.32,  0.1776530,       3.56,  0.1278672,       0.00,  0.0981852,      12.25,  0.2677921,       1.98,  0.1817072,  0.1595370,  0.0075114,   253
  generated0-32,      22.66,  0.2615369,      37.50,  0.3861035,      19.53,  0.2258542,       2.73,  0.1617723,       0.00,  0.1443340,      12.50,  0.2824965,       0.78,  0.2060405,  0.1314066,  0.0458519,   256
  generated0-31,      10.71,  0.1596383,      16.27,  0.3006802,       4.76,  0.1641482,       2.78,  0.1183746,       1.19,  0.0987220,       9.92,  0.2205701,       3.17,  0.1496641,  0.2318934, -0.0104518,   252
  generated0-30,      10.20,  0.1601204,      26.27,  0.3298321,       8.24,  0.2202038,       2.75,  0.1344408,       0.00,  0.0735070,      13.33,  0.2506697,       2.35,  0.1580950,  0.2333896, -0.0399794,   255
  generated0-29,      14.17,  0.1576163,      21.65,  0.2992479,       4.72,  0.1519793,       1.97,  0.1083055,       0.00,  0.0853759,      12.60,  0.2266280,       1.18,  0.1461957,  0.2324354, -0.0475996,   254
  generated0-28,      10.51,  0.1675669,      21.79,  0.3212201,       0.00,  0.1336156,       1.17,  0.1188385,       0.00,  0.0959161,      11.67,  0.2252812,       0.00,  0.1548037,  0.2284663,  0.0399373,   257
  generated0-27,      16.80,  0.1683190,      24.22,  0.3425884,      11.33,  0.1758599,       6.25,  0.1314828,       1.95,  0.1099284,      19.14,  0.2412817,       1.17,  0.1656000,  0.2253520, -0.0763911,   256
  generated0-26,       4.38,  0.0699778,       8.76,  0.2690270,       4.38,  0.0952259,       2.79,  0.0944172,       0.00,  0.0610037,      10.36,  0.2109393,       2.39,  0.1175608,  0.3213601, -0.0395905,   251
  generated0-25,       6.72,  0.1428393,      15.81,  0.2929236,       9.09,  0.1867281,       1.98,  0.0710731,       0.79,  0.0567521,       9.49,  0.2017868,       3.95,  0.1586838,  0.2536081, -0.0589112,   253
  generated0-24,       9.92,  0.1595215,      14.29,  0.3475665,       8.33,  0.1505317,       3.57,  0.1818198,       1.59,  0.1643410,      14.29,  0.2500584,       9.13,  0.2089732,  0.2362585,  0.0355076,   252
  generated0-23,       9.45,  0.1843979,      22.83,  0.3435827,       0.79,  0.1482729,       3.94,  0.1394453,       0.00,  0.1002348,      16.54,  0.2770351,       3.15,  0.1741159,  0.2111755,  0.0377721,   254
  generated0-22,       5.51,  0.1015656,      19.69,  0.3000752,       0.00,  0.0971581,       1.57,  0.0947583,       0.00,  0.0646652,      16.54,  0.2575991,       3.54,  0.1364439,  0.2889315, -0.0613762,   254
  generated0-21,      12.70,  0.1918297,      30.16,  0.3811122,      14.68,  0.2316895,       3.57,  0.1557734,       0.00,  0.1264380,      17.46,  0.2781169,       3.17,  0.1888784,  0.2021316,  0.0600716,   252
  generated0-20,      15.08,  0.2119151,      23.81,  0.3381359,      16.27,  0.2025888,       3.17,  0.1340552,       0.00,  0.1012316,      15.08,  0.2698392,       3.57,  0.1758627,  0.1826870, -0.0134815,   252
  generated0-19,      11.07,  0.1941775,      32.81,  0.3727816,       0.00,  0.2144337,       3.56,  0.1867017,       0.79,  0.1676366,      14.62,  0.2756773,       1.58,  0.1994957,  0.2024225,  0.0433710,   253
  generated0-18,      16.54,  0.1864950,      31.10,  0.4025975,       3.94,  0.2023800,       2.36,  0.1221618,       0.00,  0.1066807,       9.45,  0.2644994,       0.00,  0.1804057,  0.2097976,  0.0497711,   254
  generated0-17,      16.93,  0.1733757,      27.17,  0.3540632,       8.27,  0.1554134,       8.27,  0.1756276,       2.36,  0.1483503,      10.63,  0.2527225,       1.57,  0.1840232,  0.2162937, -0.0223791,   254
  generated0-16,       3.89,  0.1021472,      15.18,  0.2810987,       0.00,  0.1037624,       1.56,  0.0759841,       0.00,  0.0428960,       7.39,  0.1951627,       0.39,  0.1162147,  0.2874157, -0.0930449,   257
  generated0-15,      34.90,  0.3362958,      32.55,  0.3819992,      27.45,  0.2431182,       8.24,  0.2164627,       0.00,  0.1691177,      16.08,  0.2960009,       3.14,  0.2333127,  0.0577034,  0.0782850,   255
  generated0-14,      20.24,  0.2439915,      18.25,  0.3015990,       7.94,  0.1713608,       2.38,  0.1146266,       0.00,  0.0887748,      17.06,  0.2277780,       1.98,  0.1627950,  0.1509411, -0.0150996,   252
  generated0-13,      32.81,  0.3532404,      39.53,  0.4748714,      13.83,  0.3006305,       3.16,  0.1756321,       2.37,  0.1672639,      34.39,  0.4066344,      10.28,  0.2629403,  0.0429363,  0.0969617,   253
  generated0-12,       3.56,  0.1106167,      19.76,  0.3265893,       0.00,  0.0737296,       2.77,  0.1362543,       0.00,  0.1049857,      11.46,  0.2414648,       1.58,  0.1533184,  0.2848335, -0.0377677,   253
  generated0-11,      18.58,  0.2322198,      25.69,  0.3528472,       3.95,  0.1875048,       4.74,  0.1522408,       0.00,  0.1253174,      20.16,  0.2871893,       5.53,  0.1916356,  0.1611181, -0.0114706,   253
  generated0-10,       4.37,  0.0791729,      18.25,  0.2949212,       0.00,  0.1011759,       0.00,  0.1077988,       0.00,  0.0634769,       9.52,  0.2141740,       0.00,  0.1265906,  0.3084807,  0.0172971,   252
   generated0-9,      13.04,  0.1564552,      18.58,  0.3085750,       0.00,  0.1321425,       3.16,  0.1016245,       0.00,  0.0832026,       9.88,  0.2393787,       1.58,  0.1482061,  0.2364145, -0.0287788,   253
   generated0-8,      13.83,  0.1763159,      36.36,  0.3836975,      13.04,  0.1829365,       1.58,  0.1555699,       0.00,  0.1198225,      12.65,  0.2792392,       0.00,  0.1857742,  0.2184304, -0.0399133,   253
   generated0-7,       0.00,  0.0686666,      15.35,  0.2754480,       0.00,  0.1095245,       2.36,  0.1152217,       0.00,  0.0830353,       6.69,  0.1781862,       0.00,  0.1200929,  0.3221992, -0.0592458,   254
   generated0-6,       1.18,  0.0753699,      11.81,  0.2700855,       0.00,  0.0656092,       3.54,  0.1367764,       0.00,  0.0728052,       9.84,  0.2171872,       0.39,  0.1287040,  0.3139315, -0.0073509,   254
   generated0-5,       9.52,  0.1458979,      30.95,  0.3721501,      13.49,  0.2281274,       2.38,  0.1555783,       0.00,  0.1418290,      13.89,  0.2725525,       0.00,  0.1813347,  0.2445919, -0.0270668,   252
   generated0-4,      24.31,  0.2594761,      21.18,  0.3165570,       3.53,  0.1543927,       1.18,  0.1038600,       0.00,  0.1015647,      20.00,  0.2948456,       1.57,  0.1793839,  0.1343700,  0.0533727,   255
   generated0-3,       8.24,  0.1254866,      14.12,  0.2447045,       1.57,  0.1263939,       1.96,  0.0734412,       0.00,  0.0362822,       7.45,  0.1829334,       0.00,  0.1104746,  0.2610367, -0.0636155,   255
   generated0-2,       4.72,  0.1161122,      11.81,  0.2787825,       0.00,  0.0904592,       1.57,  0.0998445,       0.00,  0.0574488,       7.48,  0.1878753,       0.00,  0.1233439,  0.2749551, -0.0151958,   254
   generated0-1,      11.46,  0.1489907,       9.09,  0.2514919,       1.98,  0.0687888,       2.37,  0.0808992,       0.00,  0.0586050,       8.70,  0.1989134,       2.37,  0.1231501,  0.2447150, -0.0809241,   253
   generated0-0,      25.20,  0.2578846,      34.65,  0.3977743,      12.20,  0.1896871,       4.33,  0.1742118,       0.00,  0.1327133,      21.65,  0.3336381,       8.66,  0.2476515,  0.1361755,  0.0013338,   254
